Test File,Test Case,Transaction Index,Total Instructions,Unique Instructions,Top 5 Instructions
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_30M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_30M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_30M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_45M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_45M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_45M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_60M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_60M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_60M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_100M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_100M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_100M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_10M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_10M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_10M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_150M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_150M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_150M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_30M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_30M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_30M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_45M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_45M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_45M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_60M-blockchain_test_from_state_test-1KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_60M-blockchain_test_from_state_test-512],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
worst_extcodecopy_warm.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_extcodecopy_warm[fork_Prague-benchmark-gas-value_60M-blockchain_test_from_state_test-5KiB],0,1200,11,"PUSH1(240), JUMPDEST(120), DUP2(120), DUP4(120), EXTCODECOPY(120)"
